N = 64, model_type = GRU, Adaptive Run
Step = 1235, Energy = -27.650837-0.010584j, Var = 39.574229
Step = 1240, Energy = -28.318635+0.093443j, Var = 30.798732
Step = 1245, Energy = -28.278471-0.327595j, Var = 46.383224
Step = 1250, Energy = -27.535841+0.144746j, Var = 45.315066
Step = 1255, Energy = -28.428528-0.822449j, Var = 32.556591
Step = 1260, Energy = -28.134710-0.414856j, Var = 44.695898
Step = 1265, Energy = -27.771862-0.703141j, Var = 43.460346
Step = 1270, Energy = -27.680689+0.371886j, Var = 50.848845
Step = 1275, Energy = -28.354899-0.294310j, Var = 30.225140
Step = 1280, Energy = -27.902269+0.461319j, Var = 41.238531
Step = 1285, Energy = -28.744731+0.028813j, Var = 51.813295
Step = 1290, Energy = -28.225437-0.384066j, Var = 36.817447
Step = 1295, Energy = -27.808938+0.585677j, Var = 45.036799
Step = 1300, Energy = -29.360842-0.067848j, Var = 71.033006
Step = 1305, Energy = -28.968496+0.304311j, Var = 43.331388
Step = 1310, Energy = -28.730946-0.017075j, Var = 46.166872
Step = 1315, Energy = -27.913671+0.761150j, Var = 41.295629
Step = 1320, Energy = -28.105444-0.600915j, Var = 33.976366
Step = 1325, Energy = -28.771451+1.016832j, Var = 53.719746
Step = 1330, Energy = -29.406425+0.822797j, Var = 85.454626
Step = 1335, Energy = -27.970191-0.352335j, Var = 38.720190
Step = 1340, Energy = -28.014739-0.647132j, Var = 44.936073
Step = 1345, Energy = -27.979176+0.038979j, Var = 36.619911
Step = 1350, Energy = -28.415609+0.024915j, Var = 37.205911
Step = 1355, Energy = -29.130969-0.494301j, Var = 32.653569
Step = 1360, Energy = -28.487636-0.568102j, Var = 30.713547
Step = 1365, Energy = -28.796077+0.454185j, Var = 52.741545
Step = 1370, Energy = -28.458156-0.202144j, Var = 38.426318
Step = 1375, Energy = -28.366652-0.513007j, Var = 37.596678
Step = 1380, Energy = -28.049240-0.189272j, Var = 39.177555
Step = 1385, Energy = -28.012510-0.122367j, Var = 32.640068
Step = 1390, Energy = -28.301769-0.000450j, Var = 44.200880
Step = 1395, Energy = -28.156983+0.241647j, Var = 34.339400
Step = 1400, Energy = -28.496648+0.649126j, Var = 43.182818
Step = 1405, Energy = -28.305580+0.845763j, Var = 50.893009
Step = 1410, Energy = -28.409421+0.224268j, Var = 36.644647
Step = 1415, Energy = -28.407445-0.251270j, Var = 34.941587
Step = 1420, Energy = -28.350507+0.740918j, Var = 50.799017
Step = 1425, Energy = -29.113558-0.239893j, Var = 52.203917
Step = 1430, Energy = -28.148110+0.215343j, Var = 32.675124
Step = 1435, Energy = -28.172480+0.455318j, Var = 41.092081
Step = 1440, Energy = -28.634243+0.015548j, Var = 37.945641
Step = 1445, Energy = -27.918566+0.300581j, Var = 38.184538
Step = 1450, Energy = -29.382387+0.358238j, Var = 52.666288
Step = 1455, Energy = -28.140082+0.295262j, Var = 41.755236
Step = 1460, Energy = -28.013844+0.151823j, Var = 43.592587
Step = 1465, Energy = -28.770602+0.180197j, Var = 41.724921
Step = 1470, Energy = -28.474540+0.334326j, Var = 28.033410
Step = 1475, Energy = -28.371238+0.615602j, Var = 43.988794
Step = 1480, Energy = -28.656748+0.542237j, Var = 34.018119
Step = 1485, Energy = -28.791685+0.412370j, Var = 52.666899
Step = 1490, Energy = -27.831288-0.588419j, Var = 33.920211
Step = 1495, Energy = -27.890742-0.204776j, Var = 33.023085
Step = 1500, Energy = -28.111870-0.135788j, Var = 29.636631
Step = 1505, Energy = -28.771545-0.161544j, Var = 40.765584
Step = 1510, Energy = -28.677311+0.456398j, Var = 68.528236
Step = 1515, Energy = -28.574751-0.210153j, Var = 40.043402
Step = 1520, Energy = -28.982093-0.224907j, Var = 52.299784
Step = 1525, Energy = -28.600405+0.300029j, Var = 45.720959
Step = 1530, Energy = -28.250398+0.185772j, Var = 32.434679
Step = 1535, Energy = -28.885635+0.434305j, Var = 49.383707
Step = 1540, Energy = -28.536018-0.131184j, Var = 34.869609
Step = 1545, Energy = -28.946380-0.726129j, Var = 30.907871
Step = 1550, Energy = -28.398624-0.250446j, Var = 29.827897
Step = 1555, Energy = -28.320850+0.402582j, Var = 44.375007
Step = 1560, Energy = -28.622645+0.602517j, Var = 59.588442
Step = 1565, Energy = -29.104438+0.554901j, Var = 58.571352
Step = 1570, Energy = -28.670380+0.151033j, Var = 34.831903
Step = 1575, Energy = -28.919766-0.322075j, Var = 35.498572
Step = 1580, Energy = -28.644298-0.133845j, Var = 31.187799
Step = 1585, Energy = -28.197982-0.119987j, Var = 38.394026
Step = 1590, Energy = -28.339976+0.278021j, Var = 47.741579
Step = 1595, Energy = -28.576379+0.539557j, Var = 42.175501
Step = 1600, Energy = -28.593064+0.412572j, Var = 34.349744
Step = 1605, Energy = -27.910399-0.217318j, Var = 25.518318
Step = 1610, Energy = -28.171839+0.428183j, Var = 38.645231
Step = 1615, Energy = -29.119491+0.177867j, Var = 40.212384
Step = 1620, Energy = -28.640121+0.752795j, Var = 54.567764
Step = 1625, Energy = -28.579729+0.491627j, Var = 41.362142
Step = 1630, Energy = -28.281830-0.117409j, Var = 31.367000
Step = 1635, Energy = -27.866131-0.190594j, Var = 33.633952
Step = 1640, Energy = -28.098365+1.085351j, Var = 55.744981
Step = 1645, Energy = -29.625855-0.125065j, Var = 41.644585
Step = 1650, Energy = -28.691177-0.035584j, Var = 30.557588
Step = 1655, Energy = -28.433050-0.319664j, Var = 19.263292
Step = 1660, Energy = -29.260358-0.454480j, Var = 30.403642
Step = 1665, Energy = -28.699965+0.598454j, Var = 46.739143
Step = 1670, Energy = -28.322037+0.377946j, Var = 35.427846
Step = 1675, Energy = -28.766361+0.372326j, Var = 43.746729
Step = 1680, Energy = -28.905640-1.347793j, Var = 25.204684
Step = 1685, Energy = -28.461837-0.088588j, Var = 27.811045
Step = 1690, Energy = -28.629148-0.398953j, Var = 42.901882
Step = 1695, Energy = -28.552439+0.108727j, Var = 37.874738
Step = 1700, Energy = -29.131393+0.385796j, Var = 38.592407
Step = 1705, Energy = -28.674027-0.343515j, Var = 26.497388
Step = 1710, Energy = -28.670952+0.239803j, Var = 36.439573
Step = 1715, Energy = -28.150708-0.243326j, Var = 28.601726
Step = 1720, Energy = -29.503174+0.211178j, Var = 47.935663
Step = 1725, Energy = -29.104289+0.104327j, Var = 51.668544
Step = 1730, Energy = -28.323088-0.508730j, Var = 28.451240
Step = 1735, Energy = -29.006432+0.505462j, Var = 42.875908
Step = 1740, Energy = -28.984314-0.416252j, Var = 28.380347
Step = 1745, Energy = -28.589479-0.651875j, Var = 32.970951
Step = 1750, Energy = -28.667744-0.401590j, Var = 41.151895
Step = 1755, Energy = -28.625446-0.109197j, Var = 37.974088
Step = 1760, Energy = -29.676137+0.181494j, Var = 45.740822
Step = 1765, Energy = -28.592238-0.514790j, Var = 30.887273
Step = 1770, Energy = -28.339989+0.512838j, Var = 37.963860
Step = 1775, Energy = -28.377325+0.050742j, Var = 33.662054
Step = 1780, Energy = -27.990590-0.226877j, Var = 27.583090
Step = 1785, Energy = -29.322869+0.631125j, Var = 35.943799
Step = 1790, Energy = -28.708179-0.021897j, Var = 27.829625
Step = 1795, Energy = -29.094432-0.768386j, Var = 38.852423
