N = 64, model_type = GRU
Step = 830, Energy = -48.594462-0.457047j, Var = 33.503818, Loss = 23.524516
Step = 835, Energy = -48.709750+0.211980j, Var = 50.221024, Loss = -17.311215
Step = 840, Energy = -48.828038+0.029228j, Var = 32.891696, Loss = 19.088233
Step = 845, Energy = -48.633637-0.333032j, Var = 67.804652, Loss = -15.670268
Step = 850, Energy = -48.855118-0.093060j, Var = 31.277927, Loss = 5.216911
Step = 855, Energy = -48.309331-0.300741j, Var = 40.044202, Loss = -4.330925
Step = 860, Energy = -49.477292+0.178083j, Var = 38.866737, Loss = -3.956081
Step = 865, Energy = -48.075375+0.104870j, Var = 31.199490, Loss = -3.339002
Step = 870, Energy = -47.923635-0.456859j, Var = 41.333396, Loss = -8.570963
Step = 875, Energy = -48.195588+0.011532j, Var = 51.605457, Loss = -27.243136
Step = 880, Energy = -48.824837+0.175541j, Var = 41.084414, Loss = 27.736320
Step = 885, Energy = -48.204041-0.711652j, Var = 46.761878, Loss = -26.133661
Step = 890, Energy = -49.485428+0.273526j, Var = 30.571564, Loss = 13.755084
Step = 895, Energy = -49.322100+0.748492j, Var = 63.554488, Loss = -21.440627
Step = 900, Energy = -49.289584+0.287738j, Var = 53.648561, Loss = 13.711349
Step = 905, Energy = -48.987838-0.328085j, Var = 50.227853, Loss = -2.604586
Step = 910, Energy = -49.692890-0.067417j, Var = 40.509006, Loss = -3.719198
Step = 915, Energy = -49.269152+0.357596j, Var = 28.442550, Loss = 16.138268
Step = 920, Energy = -49.115416+0.267341j, Var = 47.947539, Loss = -22.449868
Step = 925, Energy = -49.879243-0.061958j, Var = 40.390344, Loss = 9.141416
Step = 930, Energy = -50.164963-0.407993j, Var = 25.260700, Loss = 0.138572
Step = 935, Energy = -49.724792+0.082520j, Var = 56.759162, Loss = 11.293588
Step = 940, Energy = -50.882118-0.391682j, Var = 43.218489, Loss = -0.803434
Step = 945, Energy = -50.759176-0.173848j, Var = 27.888767, Loss = -0.760028
Step = 950, Energy = -49.918356+0.694651j, Var = 32.925734, Loss = 6.171016
Step = 955, Energy = -50.078028-0.240968j, Var = 36.318943, Loss = -18.012431
Step = 960, Energy = -50.170614+0.544505j, Var = 30.510977, Loss = 3.750930
Step = 965, Energy = -50.715820+0.329700j, Var = 24.818998, Loss = 2.600628
